# Time in s;Angular velocity in rad/s
1.889999999999999858e+01;4.690638763130209554e+01
1.900000000000000000e+01;4.750123425659627685e+01
1.910000000000000142e+01;4.806237776776822557e+01
1.919999999999999929e+01;4.861217426743093739e+01
1.930000000000000071e+01;4.914481982441015617e+01
1.939999999999999858e+01;4.965535827275930814e+01
1.950000000000000000e+01;5.014776758777763632e+01
1.960000000000000142e+01;5.062387372534019647e+01
1.969999999999999929e+01;5.107892801448618059e+01
1.980000000000000071e+01;5.152239815499633124e+01
1.989999999999999858e+01;5.194381454272989629e+01
2.000000000000000000e+01;5.234381744792882074e+01
2.010000000000000142e+01;5.273416294364574952e+01
2.019999999999999929e+01;5.311115169070524900e+01
2.030000000000000071e+01;5.347043222283367925e+01
2.039999999999999858e+01;5.380832298614014064e+01
2.050000000000000000e+01;5.414188006845742507e+01
2.060000000000000142e+01;5.446228196867491533e+01
2.069999999999999929e+01;5.476443616699827288e+01
2.080000000000000071e+01;5.504678348681987643e+01
2.089999999999999858e+01;5.531197986395799404e+01
2.100000000000000000e+01;5.556993763030575195e+01
2.110000399999999843e+01;5.581489435368603580e+01
2.119999999999999929e+01;5.604762072976037501e+01
2.130000000000000071e+01;5.627466174322378833e+01
2.139999999999999858e+01;5.648682833041933549e+01
2.150000000000000000e+01;5.668432798633284619e+01
2.160000000000000142e+01;5.687448824817718673e+01
2.169999999999999929e+01;5.706294705113795374e+01
2.180000000000000071e+01;5.723956678305172829e+01
2.189999999999999858e+01;5.740727015900422003e+01
2.200000000000000000e+01;5.756939488405275540e+01
2.210000000000000142e+01;5.772078915412131295e+01
2.219999999999999929e+01;5.786333820936656736e+01
2.230000000000000071e+01;5.799852415682995854e+01
2.239999999999999858e+01;5.812892586276362294e+01
2.250000000000000000e+01;5.825225495389553032e+01
2.260000000000000142e+01;5.837545954803598391e+01
2.269999999999999929e+01;5.848725784638553904e+01
2.280000000000000071e+01;5.859967270126433192e+01
2.289999999999999858e+01;5.870275621021023937e+01
2.300000000000000000e+01;5.880316006962524256e+01
2.310000000000000142e+01;5.889292832891089802e+01
2.319999999999999929e+01;5.897692822759129427e+01
2.330000000000000071e+01;5.905652330414453388e+01
2.339999999999999858e+01;5.913331423417540123e+01
2.350000000000000000e+01;5.920989766922043884e+01
2.360000000000000142e+01;5.928394373701056708e+01
2.369999999999999929e+01;5.935410075592394463e+01
2.380000000000000071e+01;5.941845384366307314e+01
2.389999999999999858e+01;5.947520668649371345e+01
2.400000000000000000e+01;5.953234487715513268e+01
2.410000000000000142e+01;5.959290969929634230e+01
2.419999999999999929e+01;5.964085289787269772e+01
2.430000799999999828e+01;5.968839296333376865e+01
2.439999999999999858e+01;5.973076343943433386e+01
2.450000000000000000e+01;5.977073883055592773e+01
2.460000000000000142e+01;5.980823021027608632e+01
2.469999999999999929e+01;5.984476711306155039e+01
2.480000000000000071e+01;5.987755724924627287e+01
2.489999999999999858e+01;5.991359023563765618e+01
2.500000000000000000e+01;5.994812925813126014e+01
2.510000000000000142e+01;5.997875551803549143e+01
2.519999999999999929e+01;6.000903200067791943e+01
2.530000000000000071e+01;6.003589963712505551e+01
2.539999999999999858e+01;6.006528092711445765e+01
2.550000000000000000e+01;6.008907170934360664e+01
2.560000000000000142e+01;6.011257199859258549e+01
2.569999999999999929e+01;6.013520080890122443e+01
2.580000000000000071e+01;6.015943622324276419e+01
2.589999999999999858e+01;6.018713383963310548e+01
2.600000000000000000e+01;6.021060448674129617e+01
2.610000000000000142e+01;6.023258116995170042e+01
2.619999999999999929e+01;6.025285639427853113e+01
2.630000000000000071e+01;6.026978205669171729e+01
2.639999999999999858e+01;6.029069162283229133e+01
2.650000000000000000e+01;6.030295161227905254e+01
2.660000000000000142e+01;6.031545466728060489e+01
2.669999999999999929e+01;6.032673053765183369e+01
2.680000000000000071e+01;6.033536825748932841e+01
2.689999999999999858e+01;6.034519759138812844e+01
2.700000000000000000e+01;6.035342624968217251e+01
2.710000000000000142e+01;6.036026172735728323e+01
2.719999999999999929e+01;6.036517046587850643e+01
2.730000000000000071e+01;6.037060090607833018e+01
2.739999999999999858e+01;6.037681982722419605e+01
2.750000400000000056e+01;6.038191234701857013e+01
2.760000000000000142e+01;6.038770442133649397e+01
2.769999999999999929e+01;6.039234045216209523e+01
2.780000000000000071e+01;6.039844673317281831e+01
2.789999999999999858e+01;6.040722673528627951e+01
2.800000000000000000e+01;6.041102092931235745e+01
2.810000000000000142e+01;6.041475583905675961e+01
2.819999999999999929e+01;6.042261693480453744e+01
2.830000000000000071e+01;6.042918563321219239e+01
2.839999999999999858e+01;6.043422479715305684e+01
2.850000000000000000e+01;6.044267873571741490e+01
2.860000000000000142e+01;6.044988770436695091e+01
2.869999999999999929e+01;6.045567385025672280e+01
2.880000000000000071e+01;6.046210026638838286e+01
2.889999999999999858e+01;6.046306660017939549e+01
2.900000000000000000e+01;6.046805833669495200e+01
2.910000000000000142e+01;6.046953451530821866e+01
2.919999999999999929e+01;6.046961751330253776e+01
2.930000000000000071e+01;6.047042970796123740e+01
2.939999999999999858e+01;6.046667108450417061e+01
2.950000000000000000e+01;6.046638651995220926e+01
2.960000000000000142e+01;6.046577589185114476e+01
