# Time in s;Static pressure in hPa;Temperature in C;Differential pressure voltage as digital value in -
2.062470400000000126e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.066678800000000038e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.070888400000000118e+01;1.010250000000000000e+03;2.639999961853027344e+01;1.490000000000000000e+02
2.075098799999999954e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.079308800000000090e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.490000000000000000e+02
2.083518000000000114e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.087725599999999915e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.091933999999999827e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.096143599999999907e+01;1.010250000000000000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.100354400000000155e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.104562800000000067e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.108772799999999847e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.112983200000000039e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.117193599999999876e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.121404000000000067e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.125612800000000036e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.129822000000000060e+01;1.010130004882812500e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.134031200000000084e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.138241999999999976e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.142450799999999944e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.146661999999999892e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.150872800000000140e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.155083199999999977e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.159293200000000112e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.163501199999999969e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.167709999999999937e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.171919600000000017e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.176130399999999909e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.180339199999999877e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.184549200000000013e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.188759999999999906e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.192970400000000097e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.197180000000000177e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.201388800000000145e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.205597600000000114e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.209807599999999894e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.214018400000000142e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.218227600000000166e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.222437199999999891e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.226648399999999839e+01;1.010190002441406250e+03;2.639999961853027344e+01;1.550000000000000000e+02
